rule_contract_id,provision_id,service_code,rule_class,inputs,input_units,derived_values,formula,rounding,validation,workflow_effect,routing_effect,document_effect,fee_effect,review_effect,fallback,defer_condition,technical_review_condition,error_message_ar,test_cases,implementation_status,existing_owner,proposed_owner
RC-001,JEA-TM2025-BOOK2-P230-001,SRV-001,CALCULATION_RULE,floor_count+floor_area,integer+m2,minimum_exploration_point_count+minimum_total_depth_lm,matrix_lookup[floor_count in {1-3,4,5,6,7,8}][area_band in {<200,200-600,601-800,801-1000,1001-1200}],NOT_APPLICABLE_FOR_MATRIX_LOOKUP,actual_count>=minimum_count,-,-,-,-,routing_to_technical_review_if_special,SPECIAL_STUDY_REQUIRED,floor_count>=9 OR floor_area>1200,-,عدد نقاط الاستكشاف المنفذة أقل من الحد الأدنى المطلوب,"floors_3_area_150→(2,10); floors_5_area_900→(5,43); floors_8_area_1200→(6,64)",IMPLEMENTED_PARTIAL_COVERAGE,ExplorationRequirementMatrix.php,-
RC-002,JEA-TM2025-BOOK2-P231-002,SRV-001,CALCULATION_RULE,floor_area,m2,extra_boreholes_beyond_baseline,extra_boreholes=ceil((floor_area-1200)/300),CEILING (explicit من 'أو جزء منها'),-,-,-,-,-,-,-,-,-,area_1500→ceil(300/300)=1 extra;area_2100→ceil(900/300)=3 extra,NOT_IMPLEMENTED (currently returns SPECIAL_STUDY for area>1200),-,ExplorationRequirementMatrix.php (extend)
RC-003,JEA-TM2025-BOOK2-P231-003,SRV-001,CALCULATION_RULE,floor_area,m2,extra_boreholes_beyond_baseline,extra_boreholes=ceil((floor_area-3000)/400),CEILING,-,-,-,-,-,-,-,-,-,area_3500→ceil(500/400)=2;area_5000→ceil(2000/400)=5,NOT_IMPLEMENTED,-,ExplorationRequirementMatrix.php (extend)
RC-004,JEA-TM2025-BOOK2-P231-001,SRV-001,CALCULATION_RULE,minimum_exploration_point_count,integer,adjusted_minimum_total_depth_lm,adjusted_depth=matrix_depth+point_count*1,NONE_NEEDED_INTEGER_ADDITION,-,-,-,-,-,-,-,-,-,points=5 matrix_depth=43→adjusted=48,NOT_IMPLEMENTED,-,ExplorationRequirementMatrix.php (extend)
RC-005,JEA-TM2025-CH07-P092-001,DRW-P-001..012,FEE_RULE,governorate+building_class+area_m2,-+category+m2,fee_amount,fee=matrix[zone][class]_design_or_supervision*area_m2 (zone=Amman OR rest),NONE_NEEDED,fee>=minimum,-,-,-,fee_applied_at_submission,-,-,-,-,area_500_amman_private→5.0*500*2(design+super)=5000,IMPLEMENTED,DrawingFeeMatrixSeeder.php,-
RC-006,JEA-TM2025-CH07-P092-004,DRW-P-006,FEE_RULE,capacity_kw,kW,fee_amount,fee=capacity_kw*4*2 (design+supervision),NONE_NEEDED,fee>=minimum,-,-,-,fee_applied_at_submission,-,-,-,-,capacity_100kw→100*8=800,IMPLEMENTED,SolarFeeSeeder.php,-
RC-007,JEA-TM2025-CH07-P093-001+P096-002,SRV-001..006,FEE_RULE,length_lm,lm,office_fee+jea_practice_fee+syndicate_1pct,office=length_lm*20 practice=length_lm*0.15 syndicate=(office+practice)*0.01,NONE_NEEDED,office>=20*length_lm,-,-,-,fee_applied_at_submission,-,-,-,-,length_12→office=240 practice=1.80 syndicate=2.418 total=244.218,NOT_IMPLEMENTED_CURRENT_IS_WRONG,SiteSurveyFeesSeeder.php (uses only the 0.15 rate as sole fee),-
RC-008,JEA-TM2025-CH03-P040-002,SRV-007,FEE_RULE,area_shored_m2,m2,design_fee,fee=area_shored_m2*3.5,NONE_NEEDED,fee>=minimum,-,-,-,fee_applied_at_submission,-,-,-,-,area_100→350,IMPLEMENTED,ExcavationFeeSeeder.php,-
RC-009,JEA-TM2025-CH03-P040-003,SRV-012,FEE_RULE,area_shored_m2+supervising_engineer_salary,m2+JOD,supervision_fee,fee=area_shored_m2*2.5+supervising_engineer_salary,NONE_NEEDED,fee>=minimum,-,-,-,fee_applied_at_submission,-,-,-,-,area_100_salary_800→250+800=1050,NOT_IMPLEMENTED,-,ExcavationFeeSeeder.php (extend for SRV-012)
RC-010,JEA-TM2025-CH03-P040-004,SRV-007+SRV-012,FEE_RULE,area_shored_m2,m2,audit_committee_fee,fee=min(area_shored_m2*0.5,5000),NONE_NEEDED_MIN_CAP_EXPLICIT,fee<=5000_max,-,-,-,fee_applied_at_submission,-,-,-,-,area_5000→2500;area_15000→5000_capped,NOT_IMPLEMENTED,-,ExcavationFeeSeeder.php (add)
RC-011,JEA-TM2025-CH03-P041-001,SRV-007,FEE_RULE,none,-,deposit_amount,deposit=2000_JOD_fixed,NONE_NEEDED,-,-,-,-,deposit_required_at_submission,-,-,-,-,always_2000,NOT_IMPLEMENTED,-,DepositCalculator (proposed for shoring)
